legacy_id,centre,d,cluster,id,name,latitude,longitude,type,type_norm
150057,0,319.003801672799,98,10364,"Rua Augusto de Mari, 2299 - Guaíra",-25.4747173847,-49.290940643496,Chapéu chinês,Street bus stop
150862,0,550.83195890281,98,11044,"Rua Ponta Grossa, 552 - Portão",-25.475184658744,-49.288000942415,Sem demarcação,Street bus stop
150863,0,560.522303635824,98,11045,"Rua Ponta Grossa, 551 - Portão",-25.475125333884,-49.287896336264,Chapéu chinês,Street bus stop
150870,0,452.754836058507,98,11051,"Rua Eduardo Carlos Pereira, 242 - Portão",-25.473073480808996,-49.290455163664,Novo mobiliário,Street bus stop
170016,0,233.978303611773,98,11635,"Rua São Mateus, 62 - Portão",-25.476416682315,-49.29702632638901,Novo mobiliário,Street bus stop
170021,0,505.208329260518,98,11640,"Rua Luiz Parigot de Souza, 710 - Portão",-25.47588853174,-49.30032854463601,Novo mobiliário,Street bus stop
170023,0,246.053595816377,98,11642,"Rua Luiz Parigot de Souza, 110 - Portão",-25.475796913395,-49.29729251197299,Novo mobiliário,Street bus stop
170024,0,365.85475132458,98,11643,"Rua João Bettega, 396 - Portão",-25.475118207189,-49.298606472387,Novo mobiliário,Street bus stop
170031,0,589.050959945195,98,11649,"Rua Itatiaia, 834 - Portão",-25.477931792305,-49.300722915344,Domus,Street bus stop
170048,1,0.0,98,11666,"Rua Luiz Parigot de Souza, 1 - Portão",-25.475789418016003,-49.294408658895,Novo mobiliário,Street bus stop
170871,0,130.914981474003,98,12224,"Rua Dr. João Tobias Pinto Rebelo, 3392 - Portão",-25.475398064538997,-49.295855791515,Novo mobiliário,Street bus stop
171006,0,207.147850483033,98,12328,"R. João Bettega, 236 - Portão",-25.474921384257,-49.296556860209,Domus,Street bus stop
180101,0,382.867947119488,98,12494,"R. Dr. Lauro Wolff Valente, 92 - Portão",-25.47304,-49.29711,Novo mobiliário,Street bus stop
180102,0,412.551250632725,98,12495,"R. Dr. Lauro Wolff Valente, 43 - Portão",-25.472654108654005,-49.29699392579101,Novo mobiliário,Street bus stop
180103,0,593.84637485267,98,12496,"R. Carlos Dietzsch, 465 - Portão",-25.471756949475004,-49.29897205493899,Novo mobiliário,Street bus stop
180571,0,340.025230001888,98,12941,"Rua Carlos Dietzsch, 109 - Portão",-25.472881011533,-49.295639544726,Placa em cano,Street bus stop
180973,0,228.268938103417,98,13208,"Rua Francisco Frischman, 6 - Portão",-25.47407959522,-49.295889319128,Sem demarcação,Street bus stop
